"","ID","Type","Source"
"167","21","K_T4",0.569256756756757
"168","21","U_T4",0.430743243243243
"169","22","K_T1",0.490298507462687
"170","22","U_T1",0.509701492537313
"171","22","K_T2",NA
"172","22","U_T2",NA
"173","22","K_T3",0.0181818181818181
"174","22","U_T3",0.981818181818182
"175","22","K_T4",NA
"176","22","U_T4",NA
"177","23","K_T1",0.60349932705249
"178","23","U_T1",0.39650067294751
"179","23","K_T2",0.0951650038372985
"180","23","U_T2",0.904834996162702
"181","23","K_T3",0.0420032310177706
"182","23","U_T3",0.957996768982229
"183","23","K_T4",0.0119047619047619
"184","23","U_T4",0.988095238095238
"185","24","K_T1",0.964468371467026
"186","24","U_T1",0.0355316285329744
"187","24","K_T2",0.0824261275272162
"188","24","U_T2",0.917573872472784
"189","24","K_T3",0.163097199341021
"190","24","U_T3",0.836902800658979
"191","24","K_T4",0.0252951096121417
"192","24","U_T4",0.974704890387858
