"","plotID","ID","typeSample","typeCode","timeSample","DiseaseStatus","manager.x","variety.x","DNA_Location","DNA_Plate","DNA_Row","DNA_Col","site","manager.y","managerPlotName","FHBresistance","block","variety.y","lat","long","harvestWeight.lbs","moistPerc","testWeight.lbsPerBu","yield.lbsPerAcre","harvestLength","FHBSeverity","FgTa.Mean","FgTa.SD","FgTa.CV","DON.Mean.R1","DON.CV.R1","DON.Mean.R2","DON.CV.R2"
"H09-T3","09","H09-T3","head","H","T3","","Allen","495","P1-H5","P1","H","5","Urbana","Allen",NA,"8","3","AgriMaxx-495",40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508
"D10-T2","10","D10-T2","debris","D","T2","","Allen","495","P2-D9","P2","D","9","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"L10-T2","10","L10-T2","leaf","L","T2","","Allen","495","P2-G11","P2","G","11","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"H10-T3","10","H10-T3","head","H","T3","","Allen","495","P1-G8","P1","G","8","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"L10-T4","10","L10-T4","leaf","L","T4","","Allen","495","P2-E12","P2","E","12","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"H10-T5-HI","10","H10-T5-HI","head","H","T5","Hi","Allen","495","P3-H1","P3","H","1","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"L10-T3","10","L10-T3","leaf","L","T3","","Allen","495","P1-H6","P1","H","6","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"L10-T1","10","L10-T1","leaf","L","T1","","Allen","495","P3-A3","P3","A","3","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"H10-T5-LO","10","H10-T5-LO","head","H","T5","Lo","Allen","495","P3-H5","P3","H","5","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"D10-T1","10","D10-T1","debris","D","T1","","Allen","495","P2-D12","P2","D","12","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"H10-T4","10","H10-T4","head","H","T4","","Allen","495","P3-E2","P3","E","2","Urbana","Allen",NA,"8","4","AgriMaxx-495",40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526
"L11-T2","11","L11-T2","leaf","L","T2","","Allen","505","P1-D11","P1","D","11","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"L11-T3","11","L11-T3","leaf","L","T3","","Allen","505","P2-C6","P2","C","6","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"D11-T2","11","D11-T2","debris","D","T2","","Allen","505","P3-H6","P3","H","6","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"L11-T4","11","L11-T4","leaf","L","T4","","Allen","505","P1-C7","P1","C","7","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"H11-T5-HI","11","H11-T5-HI","head","H","T5","Hi","Allen","505","P3-D1","P3","D","1","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"H11-T3","11","H11-T3","head","H","T3","","Allen","505","P2-E7","P2","E","7","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"H11-T5-LO","11","H11-T5-LO","head","H","T5","Lo","Allen","505","P1-H4","P1","H","4","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"D11-T1","11","D11-T1","debris","D","T1","","Allen","505","P3-H4","P3","H","4","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"L11-T1","11","L11-T1","leaf","L","T1","","Allen","505","P2-G7","P2","G","7","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"H11-T4","11","H11-T4","head","H","T4","","Allen","505","P2-C2","P2","C","2","Urbana","Allen",NA,"9","4","AgriMaxx-505",40.0803,-88.224217,62.29,14.4,53.3,89.32538216,100.2,40.5625,0.2,0.059,29.241,0.553794775,23.67679335,0.726477093,91.66662566
"D12-T2","12","D12-T2","debris","D","T2","","Allen","492","P2-E2","P2","E","2","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"H12-T3","12","H12-T3","head","H","T3","","Allen","492","P1-G9","P1","G","9","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"L12-T2","12","L12-T2","leaf","L","T2","","Allen","492","P2-B9","P2","B","9","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"H12-T5-HI","12","H12-T5-HI","head","H","T5","Hi","Allen","492","P1-B9","P1","B","9","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"L12-T1","12","L12-T1","leaf","L","T1","","Allen","492","P2-F9","P2","F","9","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"L12-T4","12","L12-T4","leaf","L","T4","","Allen","492","P3-E5","P3","E","5","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"D12-T1","12","D12-T1","debris","D","T1","","Allen","492","P1-G11","P1","G","11","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"H12-T5-LO","12","H12-T5-LO","head","H","T5","Lo","Allen","492","P2-E6","P2","E","6","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"H12-T4","12","H12-T4","head","H","T4","","Allen","492","P2-G2","P2","G","2","Urbana","Allen",NA,"5","4","AgriMaxx-492",40.080217,-88.224217,61.01,16.1,54.5,86.44245854,99.4,37.25,0.306,0.091,29.611,0.989690041,9.248257484,1.392329935,7.882173554
"L13-T2","13","L13-T2","leaf","L","T2","","Talon","492","P1-B10","P1","B","10","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"D13-T1","13","D13-T1","debris","D","T1","","Talon","492","P1-H3","P1","H","3","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"H13-T5-HI","13","H13-T5-HI","head","H","T5","Hi","Talon","492","P1-A2","P1","A","2","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"H13-T3","13","H13-T3","head","H","T3","","Talon","492","P2-E3","P2","E","3","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"D13-T2","13","D13-T2","debris","D","T2","","Talon","492","P2-A4","P2","A","4","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"L13-T3","13","L13-T3","leaf","L","T3","","Talon","492","P2-G8","P2","G","8","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"L13-T1","13","L13-T1","leaf","L","T1","","Talon","492","P1-H2","P1","H","2","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"H13-T5-LO","13","H13-T5-LO","head","H","T5","Lo","Talon","492","P1-A11","P1","A","11","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"L13-T4","13","L13-T4","leaf","L","T4","","Talon","492","P2-F5","P2","F","5","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"H13-T4","13","H13-T4","head","H","T4","","Talon","492","P1-F1","P1","F","1","Ewing","Talon","101","5","1","AgriMaxx-492",38.096467,-88.8457,170,13.6,56.7,70.84903329,87,40.95,0.665,0.155,23.32,3.722755801,23.99237221,2.549972137,8.933314545
"L14-T2","14","L14-T2","leaf","L","T2","","Talon","495","P3-B6","P3","B","6","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"H14-T5-HI","14","H14-T5-HI","head","H","T5","Hi","Talon","495","P2-F4","P2","F","4","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"D14-T1","14","D14-T1","debris","D","T1","","Talon","495","P2-B2","P2","B","2","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"L14-T3","14","L14-T3","leaf","L","T3","","Talon","495","P1-F10","P1","F","10","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"H14-T3","14","H14-T3","head","H","T3","","Talon","495","P3-H3","P3","H","3","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"D14-T2","14","D14-T2","debris","D","T2","","Talon","495","P2-F10","P2","F","10","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"L14-T4","14","L14-T4","leaf","L","T4","","Talon","495","P2-D11","P2","D","11","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"L14-T1","14","L14-T1","leaf","L","T1","","Talon","495","P2-E8","P2","E","8","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"H14-T5-LO","14","H14-T5-LO","head","H","T5","Lo","Talon","495","P2-C4","P2","C","4","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"H14-T4","14","H14-T4","head","H","T4","","Talon","495","P1-D7","P1","D","7","Ewing","Talon","102","8","1","AgriMaxx-495",38.096467,-88.845633,182,13,58.1,76.37687861,87,48.975,0.365,0.121,33.304,1.576142686,20.41212162,1.493151693,6.397107246
"L15-T2","15","L15-T2","leaf","L","T2","","Talon","505","P2-A12","P2","A","12","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"D15-T1","15","D15-T1","debris","D","T1","","Talon","505","P3-F5","P3","F","5","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"H15-T3","15","H15-T3","head","H","T3","","Talon","505","P2-H10","P2","H","10","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"D15-T2","15","D15-T2","debris","D","T2","","Talon","505","P3-C7","P3","C","7","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"H15-T5-HI","15","H15-T5-HI","head","H","T5","Hi","Talon","505","P1-D10","P1","D","10","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"L15-T1","15","L15-T1","leaf","L","T1","","Talon","505","P3-H2","P3","H","2","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"H15-T5-LO","15","H15-T5-LO","head","H","T5","Lo","Talon","505","P2-B12","P2","B","12","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"L15-T3","15","L15-T3","leaf","L","T3","","Talon","505","P1-E1","P1","E","1","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"H15-T4","15","H15-T4","head","H","T4","","Talon","505","P1-G1","P1","G","1","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"L15-T4","15","L15-T4","leaf","L","T4","","Talon","505","P2-A11","P2","A","11","Ewing","Talon","103","9","1","AgriMaxx-505",38.096467,-88.845567,178,13.5,55.5,74.26896552,87,47.1875,0.333,0.222,66.683,1.01803183,40.42778213,1.335293304,6.909625717
"L16-T3","16","L16-T3","leaf","L","T3","","Talon","495","P1-F8","P1","F","8","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"D16-T1","16","D16-T1","debris","D","T1","","Talon","495","P2-G5","P2","G","5","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"H16-T3","16","H16-T3","head","H","T3","","Talon","495","P3-A6","P3","A","6","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"H16-T5-HI","16","H16-T5-HI","head","H","T5","Hi","Talon","495","P2-D1","P2","D","1","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"L16-T1","16","L16-T1","leaf","L","T1","","Talon","495","P1-E12","P1","E","12","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"H16-T5-LO","16","H16-T5-LO","head","H","T5","Lo","Talon","495","P3-G1","P3","G","1","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"L16-T4","16","L16-T4","leaf","L","T4","","Talon","495","P2-H11","P2","H","11","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"D16-T2","16","D16-T2","debris","D","T2","","Talon","495","P1-H11","P1","H","11","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"L16-T2","16","L16-T2","leaf","L","T2","","Talon","495","P2-A6","P2","A","6","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"H16-T4","16","H16-T4","head","H","T4","","Talon","495","P1-C9","P1","C","9","Ewing","Talon","201","8","2","AgriMaxx-495",38.096467,-88.8455,162,13.3,55.1,67.74938808,87,52.6375,0.23,0.016,7.047,1.286261614,16.52662154,1.372498463,6.366822296
"H17-T4","17","H17-T4","head","H","T4","","Talon","492","P1-C8","P1","C","8","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"L17-T1","17","L17-T1","leaf","L","T1","","Talon","492","P2-B4","P2","B","4","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"H17-T5-LO","17","H17-T5-LO","head","H","T5","Lo","Talon","492","P1-H12","P1","H","12","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"L17-T3","17","L17-T3","leaf","L","T3","","Talon","492","P1-G6","P1","G","6","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"D17-T1","17","D17-T1","debris","D","T1","","Talon","492","P2-G10","P2","G","10","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"L17-T2","17","L17-T2","leaf","L","T2","","Talon","492","P1-H10","P1","H","10","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"H17-T3","17","H17-T3","head","H","T3","","Talon","492","P2-C10","P2","C","10","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"H17-T5-HI","17","H17-T5-HI","head","H","T5","Hi","Talon","492","P3-E1","P3","E","1","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"L17-T4","17","L17-T4","leaf","L","T4","","Talon","492","P2-C1","P2","C","1","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"D17-T2","17","D17-T2","debris","D","T2","","Talon","492","P1-F12","P1","F","12","Ewing","Talon","202","5","2","AgriMaxx-492",38.096467,-88.845417,168,13.4,54.6,70.1775882,87,40.625,0.696,0.198,28.373,4.50379559,5.577514236,2.388550977,14.95139576
"L18-T1","18","L18-T1","leaf","L","T1","","Talon","505","P1-A10","P1","A","10","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"D18-T1","18","D18-T1","debris","D","T1","","Talon","505","P2-H7","P2","H","7","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"L18-T2","18","L18-T2","leaf","L","T2","","Talon","505","P2-A5","P2","A","5","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"D18-T2","18","D18-T2","debris","D","T2","","Talon","505","P2-B7","P2","B","7","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"L18-T3","18","L18-T3","leaf","L","T3","","Talon","505","P2-A8","P2","A","8","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"H18-T4","18","H18-T4","head","H","T4","","Talon","505","P2-H9","P2","H","9","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"H18-T3","18","H18-T3","head","H","T3","","Talon","505","P3-E3","P3","E","3","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"L18-T4","18","L18-T4","leaf","L","T4","","Talon","505","P2-E5","P2","E","5","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"H18-T5-HI","18","H18-T5-HI","head","H","T5","Hi","Talon","505","P2-H3","P2","H","3","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"H18-T5-LO","18","H18-T5-LO","head","H","T5","Lo","Talon","505","P3-F3","P3","F","3","Ewing","Talon","203","9","2","AgriMaxx-505",38.096467,-88.84535,182,14.8,52.6,74.79666733,87,38.95,0.077,NA,NA,0.213030026,57.15874276,0.240690066,223.6067977
"L19-T1","19","L19-T1","leaf","L","T1","","Talon","505","P2-B11","P2","B","11","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"L19-T2","19","L19-T2","leaf","L","T2","","Talon","505","P2-F8","P2","F","8","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"H19-T4","19","H19-T4","head","H","T4","","Talon","505","P1-B8","P1","B","8","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"D19-T1","19","D19-T1","debris","D","T1","","Talon","505","P1-A1","P1","A","1","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"L19-T3","19","L19-T3","leaf","L","T3","","Talon","505","P1-F2","P1","F","2","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"H19-T5-HI","19","H19-T5-HI","head","H","T5","Hi","Talon","505","P2-B10","P2","B","10","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"D19-T2","19","D19-T2","debris","D","T2","","Talon","505","P2-D7","P2","D","7","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
"L19-T4","19","L19-T4","leaf","L","T4","","Talon","505","P1-D3","P1","D","3","Ewing","Talon","301","9","3","AgriMaxx-505",38.096467,-88.845283,166,13.2,56.8,69.50228423,87,51.975,0.451,0.109,24.22,3.198746795,5.902423255,2.045984411,7.156484905
