ID,typeSample,typeCode,plotID,timeSample,DiseaseStatus,manager,variety,QuantIt_ngperuL,uLSample_normalize,uLWater_normalize,DNA_Location,DNA_Plate,DNA_Row,DNA_Col
D13-T2,debris,D,P_13,T2,,Talon,492,28.88,10,18.88,P2-A4,P2,A,4
D14-T2,debris,D,P_14,T2,,Talon,495,17.14,10,7.14,P2-F10,P2,F,10
D15-T2,debris,D,P_15,T2,,Talon,505,35.09,10,25.09,P3-C7,P3,C,7
D16-T2,debris,D,P_16,T2,,Talon,495,14.59,10,4.59,P1-H11,P1,H,11
D17-T2,debris,D,P_17,T2,,Talon,492,9.11,As Is,0,P1-F12,P1,F,12
D18-T2,debris,D,P_18,T2,,Talon,505,24.35,10,14.35,P2-B7,P2,B,7
D19-T2,debris,D,P_19,T2,,Talon,505,21.99,10,11.99,P2-D7,P2,D,7
D20-T2,debris,D,P_20,T2,,Talon,495,24.22,10,14.22,P2-G3,P2,G,3
D21-T2,debris,D,P_21,T2,,Talon,492,19.46,10,9.46,P3-A5,P3,A,5
D22-T2,debris,D,P_22,T2,,Talon,495,17.72,10,7.72,P2-F1,P2,F,1
D23-T2,debris,D,P_23,T2,,Talon,505,21.21,10,11.21,P1-C11,P1,C,11
D24-T2,debris,D,P_24,T2,,Talon,492,19.84,10,9.84,P1-B7,P1,B,7
L01-T2,leaf,L,P_01,T2,,Allen,495,32.49,10,22.49,P1-C2,P1,C,2
L02-T2,leaf,L,P_02,T2,,Allen,492,24.78,10,14.78,P1-A5,P1,A,5
L03-T2,leaf,L,P_03,T2,,Allen,505,26.46,10,16.46,P2-C7,P2,C,7
L04-T2,leaf,L,P_04,T2,,Allen,492,25.58,10,15.58,P2-D3,P2,D,3
L05-T2,leaf,L,P_05,T2,,Allen,495,32.1,10,22.1,P1-F4,P1,F,4
L06-T2,leaf,L,P_06,T2,,Allen,505,44,10,34,P2-E1,P2,E,1
L07-T2,leaf,L,P_07,T2,,Allen,505,29.21,10,19.21,P3-D5,P3,D,5
L08-T2,leaf,L,P_08,T2,,Allen,492,16.96,10,6.96,P2-H8,P2,H,8
L09-T2,leaf,L,P_09,T2,,Allen,495,28.61,10,18.61,P2-B3,P2,B,3
L10-T2,leaf,L,P_10,T2,,Allen,495,44.61,10,34.61,P2-G11,P2,G,11
L11-T2,leaf,L,P_11,T2,,Allen,505,36.46,10,26.46,P1-D11,P1,D,11
L12-T2,leaf,L,P_12,T2,,Allen,492,42.79,10,32.79,P2-B9,P2,B,9
