,ID,Type,Time,TissueSource,Source
173,22,K,T3,L,0.018181818
174,22,U,T3,L,0.981818182
175,22,K,T4,L,NA
176,22,U,T4,L,NA
177,23,K,T1,D,0.603499327
178,23,U,T1,D,0.396500673
179,23,K,T2,D,0.095165004
180,23,U,T2,D,0.904834996
181,23,K,T3,L,0.042003231
182,23,U,T3,L,0.957996769
183,23,K,T4,L,0.011904762
184,23,U,T4,L,0.988095238
185,24,K,T1,D,0.964468371
186,24,U,T1,D,0.035531629
187,24,K,T2,D,0.082426128
188,24,U,T2,D,0.917573872
189,24,K,T3,L,0.163097199
190,24,U,T3,L,0.836902801
191,24,K,T4,L,0.02529511
192,24,U,T4,L,0.97470489
