"","D_ID","Type","Source"
"159","12","H_K_Lo_T4",0.800868885619713
"160","12","H_U_Lo_T4",0.199131114380287
"161","12","H_K_Hi_T4",0.918079561042524
"162","12","H_U_Hi_T4",0.081920438957476
"163","12","L_K_T1",0.555640828856485
"164","12","L_U_T1",0.444359171143515
"165","12","L_K_T2",NA
"166","12","L_U_T2",NA
"167","12","L_K_T3",NA
"168","12","L_U_T3",NA
"169","13","D_K_T1",0.754603174603175
"170","13","D_U_T1",0.245396825396825
"171","13","H_K_T3",0.881223005228461
"172","13","H_U_T3",0.118776994771539
"173","13","H_K_Lo_T4",0.794567827130852
"174","13","H_U_Lo_T4",0.205432172869148
"175","13","H_K_Hi_T4",0.844081005433291
"176","13","H_U_Hi_T4",0.155918994566709
"177","13","L_K_T1",0.489291598023064
"178","13","L_U_T1",0.510708401976936
"179","13","L_K_T2",0.0884676145339652
"180","13","L_U_T2",0.911532385466035
"181","13","L_K_T3",NA
"182","13","L_U_T3",NA
"183","14","D_K_T1",0.635226129356828
"184","14","D_U_T1",0.364773870643172
"185","14","H_K_T3",0.838320601918328
"186","14","H_U_T3",0.161679398081672
"187","14","H_K_Lo_T4",0.841608244686733
"188","14","H_U_Lo_T4",0.158391755313267
"189","14","H_K_Hi_T4",0.957297326966354
"190","14","H_U_Hi_T4",0.0427026730336462
"191","14","L_K_T1",0.805832693783576
"192","14","L_U_T1",0.194167306216424
"193","14","L_K_T2",0.93522906793049
"194","14","L_U_T2",0.0647709320695103
"195","14","L_K_T3",0.595993322203673
"196","14","L_U_T3",0.404006677796327
"197","15","D_K_T1",0.741460268317853
"198","15","D_U_T1",0.258539731682147
"199","15","H_K_T3",0.86632004621606
"200","15","H_U_T3",0.13367995378394
"201","15","H_K_Lo_T4",0.714281880275358
"202","15","H_U_Lo_T4",0.285718119724641
"203","15","H_K_Hi_T4",0.830333625987708
"204","15","H_U_Hi_T4",0.169666374012291
"205","15","L_K_T1",NA
"206","15","L_U_T1",NA
"207","15","L_K_T2",0.813586097946288
"208","15","L_U_T2",0.186413902053712
"209","15","L_K_T3",0.500834724540901
"210","15","L_U_T3",0.499165275459099
"211","16","D_K_T1",0.681156420340854
"212","16","D_U_T1",0.318843579659146
"213","16","H_K_T3",0.600838405880326
"214","16","H_U_T3",0.399161594119674
"215","16","H_K_Lo_T4",0.853697655429838
"216","16","H_U_Lo_T4",0.146302344570162
"217","16","H_K_Hi_T4",0.937939898402595
"218","16","H_U_Hi_T4",0.062060101597405
"219","16","L_K_T1",0.0759785111281658
"220","16","L_U_T1",0.924021488871834
"221","16","L_K_T2",0.848341232227488
"222","16","L_U_T2",0.151658767772512
"223","16","L_K_T3",0
"224","16","L_U_T3",1
"225","17","D_K_T1",0.700420525786228
"226","17","D_U_T1",0.299579474213772
"227","17","H_K_T3",0.826116917422763
"228","17","H_U_T3",0.173883082577237
"229","17","H_K_Lo_T4",0.823717606910526
"230","17","H_U_Lo_T4",0.176282393089474
"231","17","H_K_Hi_T4",0.85842165961887
"232","17","H_U_Hi_T4",0.14157834038113
"233","17","L_K_T1",NA
"234","17","L_U_T1",NA
"235","17","L_K_T2",0.815165876777251
"236","17","L_U_T2",0.184834123222749
"237","17","L_K_T3",0.814691151919867
"238","17","L_U_T3",0.185308848080134
"239","18","D_K_T1",0.761435463481334
"240","18","D_U_T1",0.238564536518666
"241","18","H_K_T3",0.800724905688291
"242","18","H_U_T3",0.199275094311709
"243","18","H_K_Lo_T4",0.787485300859028
"244","18","H_U_Lo_T4",0.212514699140972
"245","18","H_K_Hi_T4",0.904252400548697
"246","18","H_U_Hi_T4",0.0957475994513032
"247","18","L_K_T1",0.0368380660015349
"248","18","L_U_T1",0.963161933998465
"249","18","L_K_T2",0.731437598736177
"250","18","L_U_T2",0.268562401263823
"251","18","L_K_T3",0.155258764607679
"252","18","L_U_T3",0.844741235392321
"253","19","D_K_T1",0.606832314162603
"254","19","D_U_T1",0.393167685837397
"255","19","H_K_T3",0.858447226369588
"256","19","H_U_T3",0.141552773630412
"257","19","H_K_Lo_T4",0.830264237121858
"258","19","H_U_Lo_T4",0.169735762878142
"259","19","H_K_Hi_T4",0.862097349503375
"260","19","H_U_Hi_T4",0.137902650496625
"261","19","L_K_T1",0.749040675364543
"262","19","L_U_T1",0.250959324635457
"263","19","L_K_T2",0.014218009478673
"264","19","L_U_T2",0.985781990521327
"265","19","L_K_T3",NA
"266","19","L_U_T3",NA
"267","20","D_K_T1",0.682344276094276
"268","20","D_U_T1",0.317655723905724
"269","20","H_K_T3",0.862955308705761
"270","20","H_U_T3",0.137044691294239
"271","20","H_K_Lo_T4",0.834331556131347
"272","20","H_U_Lo_T4",0.165668443868653
"273","20","H_K_Hi_T4",0.900084435688151
"274","20","H_U_Hi_T4",0.0999155643118492
"275","20","L_K_T1",0.501390176088971
"276","20","L_U_T1",0.498609823911029
"277","20","L_K_T2",0.565560821484992
"278","20","L_U_T2",0.434439178515008
"279","20","L_K_T3",NA
"280","20","L_U_T3",NA
"281","21","D_K_T1",0.636527888908964
"282","21","D_U_T1",0.363472111091036
"283","21","H_K_T3",0.464511312736878
"284","21","H_U_T3",0.535488687263122
"285","21","H_K_Lo_T4",0.965062111801242
"286","21","H_U_Lo_T4",0.0349378881987578
"287","21","H_K_Hi_T4",0.923178226514486
"288","21","H_U_Hi_T4",0.0768217734855136
"289","21","L_K_T1",0.797390636991558
"290","21","L_U_T1",0.202609363008442
"291","21","L_K_T2",0.868670886075949
"292","21","L_U_T2",0.131329113924051
"293","21","L_K_T3",0.400667779632721
"294","21","L_U_T3",0.599332220367279
"295","22","D_K_T1",0.760168725519735
"296","22","D_U_T1",0.239831274480265
"297","22","H_K_T3",0.891524061100264
"298","22","H_U_T3",0.108475938899736
"299","22","H_K_Lo_T4",0.900672591880855
"300","22","H_U_Lo_T4",0.0993274081191448
"301","22","H_K_Hi_T4",0.942548287971905
"302","22","H_U_Hi_T4",0.0574517120280948
"303","22","L_K_T1",NA
"304","22","L_U_T1",NA
"305","22","L_K_T2",NA
"306","22","L_U_T2",NA
"307","22","L_K_T3",NA
"308","22","L_U_T3",NA
"309","23","D_K_T1",0.756940144478844
"310","23","D_U_T1",0.243059855521156
"311","23","H_K_T3",0.822326203208556
"312","23","H_U_T3",0.177673796791444
"313","23","H_K_Lo_T4",0.686765078026149
"314","23","H_U_Lo_T4",0.313234921973851
"315","23","H_K_Hi_T4",0.934782608695652
"316","23","H_U_Hi_T4",0.0652173913043478
"317","23","L_K_T1",0.0706062931696086
"318","23","L_U_T1",0.929393706830391
"319","23","L_K_T2",0.990521327014218
"320","23","L_U_T2",0.00947867298578199
"321","23","L_K_T3",0.215358931552588
"322","23","L_U_T3",0.784641068447412
"323","24","D_K_T1",0.732592038389102
"324","24","D_U_T1",0.267407961610898
"325","24","H_K_T3",0.604754098360656
"326","24","H_U_T3",0.395245901639344
"327","24","H_K_Lo_T4",0.850520076054133
"328","24","H_U_Lo_T4",0.149479923945867
"329","24","H_K_Hi_T4",0.926940388626633
"330","24","H_U_Hi_T4",0.073059611373367
"331","24","L_K_T1",0
"332","24","L_U_T1",1
"333","24","L_K_T2",0.677725118483412
"334","24","L_U_T2",0.322274881516588
"335","24","L_K_T3",0.524809160305344
"336","24","L_U_T3",0.475190839694656
