,plotID,ID,timeDisSite,typeSample,typeCode,timeSample,DiseaseStatus,variety.x,site,block,lat,long,moistPerc,testWeight.lbsPerBu,yield.lbsPerAcre,FgTa.Mean,DON.Mean.R1,fungiDepth,Sdiv
41,21,D21-T1,T1_Ewing,debris,D,T1,,492,Ewing,3,38.096467,-88.84515,13.9,52.4,71.43365358,0.804,3.207684961,27726,95
42,21,D21-T2,T2_Ewing,debris,D,T2,,492,Ewing,3,38.096467,-88.84515,13.9,52.4,71.43365358,0.804,3.207684961,198442,315
43,22,D22-T1,T1_Ewing,debris,D,T1,,495,Ewing,4,38.096467,-88.845083,13.8,54.4,77.33773969,0.376,2.783528803,34412,103
44,22,D22-T2,T2_Ewing,debris,D,T2,,495,Ewing,4,38.096467,-88.845083,13.8,54.4,77.33773969,0.376,2.783528803,9964,109
45,23,D23-T1,T1_Ewing,debris,D,T1,,505,Ewing,4,38.09645,-88.845017,13.7,52.7,71.59958541,0.146,0.137264947,55510,108
46,23,D23-T2,T2_Ewing,debris,D,T2,,505,Ewing,4,38.09645,-88.845017,13.7,52.7,71.59958541,0.146,0.137264947,52387,169
47,24,D24-T1,T1_Ewing,debris,D,T1,,492,Ewing,4,38.096467,-88.84495,14.1,52.4,71.26772175,0.351,2.449112251,53647,122
48,24,D24-T2,T2_Ewing,debris,D,T2,,492,Ewing,4,38.096467,-88.84495,14.1,52.4,71.26772175,0.351,2.449112251,45999,167
49,1,H01-T3,T3_Urbana,head,H,T3,,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,17414,70
50,1,H01-T4,T4_Urbana,head,H,T4,,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,100362,122
51,1,H01-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,18225,59
52,1,H01-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,184407,158
53,2,H02-T3,T3_Urbana,head,H,T3,,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,6953,90
54,2,H02-T4,T4_Urbana,head,H,T4,,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,87981,135
55,2,H02-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,98150,101
56,2,H02-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,41508,94
57,3,H03-T3,T3_Urbana,head,H,T3,,505,Urbana,1,40.080967,-88.224217,14.5,54,87.62127144,0.27,0.60323442,2670,31
58,3,H03-T4,T4_Urbana,head,H,T4,,505,Urbana,1,40.080967,-88.224217,14.5,54,87.62127144,0.27,0.60323442,15951,92
59,3,H03-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,505,Urbana,1,40.080967,-88.224217,14.5,54,87.62127144,0.27,0.60323442,57864,88
60,3,H03-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,505,Urbana,1,40.080967,-88.224217,14.5,54,87.62127144,0.27,0.60323442,48631,94
61,4,H04-T3,T3_Urbana,head,H,T3,,492,Urbana,2,40.080883,-88.224217,16.8,54.8,84.09715422,0.304,1.36030844,6539,52
62,4,H04-T4,T4_Urbana,head,H,T4,,492,Urbana,2,40.080883,-88.224217,16.8,54.8,84.09715422,0.304,1.36030844,46852,75
63,4,H04-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,492,Urbana,2,40.080883,-88.224217,16.8,54.8,84.09715422,0.304,1.36030844,19292,59
64,4,H04-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,492,Urbana,2,40.080883,-88.224217,16.8,54.8,84.09715422,0.304,1.36030844,161067,130
65,5,H05-T3,T3_Urbana,head,H,T3,,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,15658,95
66,5,H05-T4,T4_Urbana,head,H,T4,,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,50515,108
67,5,H05-T5-HI,T5_Hi_Urbana,head,H,T5,Hi,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,12265,52
68,5,H05-T5-LO,T5_Lo_Urbana,head,H,T5,Lo,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,40405,94
