"","Feature.ID","Confidence","domain","phylum","class","order","family","genus","species","SH"
"1686","ASV2729",0.966747473864143,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Exserohilum_turcicum","SH1206766.10FU"
"1687","ASV273",0.988538854731633,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
"1688","ASV2730",0.725209876166743,"Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis","Rhizophydiales_sp",NA
"1689","ASV2731",0.821582455967348,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Sordariales_gen_Incertae_sedis","Sordariales_sp","SH1053249.10FU"
"1690","ASV2732",0.91418196736975,"Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA,NA
"1691","ASV2733",0.994641461665189,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
"1692","ASV2734",0.999989115983013,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","Urnula","Urnula_craterium","SH1354929.10FU"
"1693","ASV2735",0.97779649277832,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
"1694","ASV2736",0.999999999965609,"Alveolata","Ciliophora","Ciliophora_cls_Incertae_sedis","Ciliophora_ord_Incertae_sedis","Ciliophora_fam_Incertae_sedis","Ciliophora_gen_Incertae_sedis","Ciliophora_sp",NA
"1695","ASV2737",0.746728715259378,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Neptunomyces","Neptunomyces_sp","SH1328490.10FU"
"1696","ASV2738",0.999125759689453,"Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_chlorophyti","SH1226480.10FU"
"1697","ASV2739",0.966058688097369,"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Pseudorobillardaceae","Pseudorobillarda","Pseudorobillarda_phragmitis","SH1318217.10FU"
"1698","ASV274",0.798990981823711,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_insularis","SH1797541.10FU"
"1699","ASV2740",0.999995998997182,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Setophoma","Setophoma_terrestris","SH1102362.10FU"
"1700","ASV2742",0.999994082378423,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Hymenoscyphus","Hymenoscyphus_menthae","SH1323831.10FU"
"1701","ASV2743",0.905793113118621,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","Ganoderma_applanatum","SH1088159.10FU"
"1702","ASV2744",0.999995748278594,"Fungi","Basidiomycota","Spiculogloeomycetes","Spiculogloeomycetes_ord_Incertae_sedis","Spiculogloeomycetes_fam_Incertae_sedis","Meniscomyces","Meniscomyces_layueensis","SH1295304.10FU"
"1703","ASV2745",0.999999183322465,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp","SH1331433.10FU"
"1704","ASV2746",0.999981643409598,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Marchandiobasidium","Marchandiobasidium_sp","SH1077645.10FU"
"1705","ASV2747",0.834898720411975,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophoraceae_gen_Incertae_sedis","Peniophoraceae_sp","SH1054320.10FU"
"1706","ASV2748",0.845980504474594,"Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina","Taphrina_caerulescens","SH1235290.10FU"
"1707","ASV2749",0.999999138533981,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremellaceae_gen_Incertae_sedis","Tremellaceae_sp","SH1344470.10FU"
